ncols         22
nrows         62
xllcorner     0.00000000
yllcorner     0.00000000
cellsize      0.5
nodata_value  -9999	
49.50	49.50	8.50	49.50	0.00	24.00	0.00	29.00	0.50	0.00	0.00	50.00	49.50	50.00	0.00	50.00	23.50	50.00	19.00	41.50	0.00	0.00
17.00	17.00	0.00	0.00	0.00	37.50	0.00	40.00	0.00	0.00	0.00	39.00	16.00	44.00	50.00	1.00	25.00	26.00	10.00	24.00	0.00	0.00
0.00	0.00	8.50	31.00	0.00	1.00	0.00	0.00	44.00	0.00	37.00	37.00	34.00	44.00	29.00	50.00	23.00	2.00	1.00	50.00	48.50	48.50
28.00	28.00	0.00	31.00	0.00	10.50	0.00	0.00	50.00	0.00	0.00	43.50	0.00	3.50	0.00	21.50	0.00	1.50	36.00	50.00	0.00	0.00
14.00	14.00	8.00	0.00	46.00	0.00	0.00	1.50	3.50	0.00	0.00	49.00	19.00	9.50	29.00	0.00	46.00	50.00	0.00	0.00	0.00	0.00
0.00	0.00	41.00	26.00	29.00	29.50	29.00	29.50	18.00	9.50	4.50	39.00	6.50	20.50	50.00	49.50	15.50	46.00	18.50	0.00	15.00	15.00
50.00	50.00	41.00	30.00	3.50	2.50	44.50	50.00	5.50	5.50	0.00	50.00	48.00	5.50	50.00	6.50	23.50	5.50	16.50	49.00	17.50	17.50
27.50	27.50	3.50	0.00	29.00	24.00	49.00	11.00	50.00	29.00	24.00	19.00	50.00	50.00	39.00	50.00	24.00	17.50	19.50	0.00	22.50	22.50
0.00	0.00	0.00	19.00	46.00	29.50	50.00	25.50	50.00	18.50	50.00	50.00	45.00	44.00	27.50	7.00	20.50	0.00	34.00	9.00	38.00	38.00
24.00	24.00	0.00	50.00	2.50	17.00	18.00	40.00	50.00	22.00	39.00	42.50	28.00	2.00	50.00	50.00	0.00	31.50	10.50	36.00	33.00	33.00
43.50	43.50	0.00	21.00	49.50	0.00	8.50	23.50	42.50	16.00	50.00	43.00	30.50	0.00	46.50	8.50	0.00	8.00	0.00	9.00	11.50	11.50
0.00	0.00	28.50	31.00	46.00	0.00	49.00	20.00	4.50	16.00	50.00	0.00	26.50	50.00	9.00	50.00	15.50	17.00	19.00	34.50	9.50	9.50
0.00	0.00	50.00	0.00	3.00	21.00	39.00	33.00	1.50	26.50	9.00	2.50	0.00	9.00	50.00	50.00	50.00	10.50	25.50	17.50	11.00	11.00
